"id","name","lat","lon","m3u8"
"28","Мария-Ра парковка (АБ)","52.48928","85.145345","https://cctv8.digibi.ru:18080/hls/363942/9fcf88326e5a94b55f94/playlist.m3u8"
"68","Мария-РА (трест)","52.500555","85.138255","https://cctv2.digibi.ru:18080/hls/1028797/c4d87ac859580699a402/playlist.m3u8"
"100","Мартьянова - Репина","52.508175","85.158126","https://cctv3.digibi.ru:18080/hls/1666850/5002f07f360a170063a2/playlist.m3u8"
"96","Мартьянова - Ударная","52.519133","85.154441","https://cctv2.digibi.ru:18080/hls/1598675/2d44960f9887269debb1/playlist.m3u8"
"333","Матросова - Можайского","52.499314","85.146809","https://cctv11.digibi.ru:18080/hls/40883258/60a15cb70612587aeb72/playlist.m3u8"
"129","Матросова - Пугачева","52.502261","85.145545","https://cctv3.digibi.ru:18080/hls/2328131/145acb8601b8e766e05a/playlist.m3u8"
"151","Матросова - Разина №1","52.507723","85.144436","https://cctv8.digibi.ru:18080/hls/3035937/fc09dde42688bd5119d4/playlist.m3u8"
"206","Матросова - Разина №2","52.508282","85.144655","https://cctv5.digibi.ru:18080/hls/9075433/4aecd93efabdba937948/playlist.m3u8"
"128","Матросова - Чайковского","52.504983","85.144514","https://cctv3.digibi.ru:18080/hls/2328094/85fc70ba2f98bb89f834/playlist.m3u8"
"163","Мать и дитя","52.536732","85.217664","https://cctv12.digibi.ru:18080/hls/4441384/9848a23a445082ae3188/playlist.m3u8"
"150","Мебельная парковка","52.507747","85.144437","https://cctv8.digibi.ru:18080/hls/3035859/5628a7a5de53f24bf34e/playlist.m3u8"
"312","Мемориал погибшим в ВОВ","52.531037","85.227965","https://cctv3.digibi.ru:18080/hls/33179730/3ea95e05074139475cd8/playlist.m3u8"
"37","Мерлина - Гастелло","52.530399","85.176088","https://cctv8.digibi.ru:18080/hls/389845/3c4d29c61d2d9b1a15c1/playlist.m3u8"
"106","Мерлина - Трофимова","52.528521","85.155356","https://cctv12.digibi.ru:18080/hls/1731880/2c3889ef3cbec91ff679/playlist.m3u8"
"218","Мерлина (Школа №8)","52.532478","85.188895","https://cctv12.digibi.ru:18080/hls/12286079/83dabe9c0fd723d7049e/playlist.m3u8"
"42","Митрофанова - Красноармейская","52.529396","85.182391","https://cctv8.digibi.ru:18080/hls/482881/7ecbe0e1b720bba295e5/playlist.m3u8"
"223","Митрофанова - Лесная","52.529172","85.180915","https://cctv12.digibi.ru:18080/hls/12560757/e5d8ca8816500e1b990a/playlist.m3u8"
"125","Мичуринский - Шевченко","52.539497","85.199964","https://cctv3.digibi.ru:18080/hls/2241645/5f397d4e6f1a086e48ca/playlist.m3u8"
"36","Модный ТЦ","52.529637","85.174838","https://cctv8.digibi.ru:18080/hls/388545/7868edc4b59da671ec25/playlist.m3u8"
"228","Москва бизнес-центр №1","52.530911","85.176643","https://cctv11.digibi.ru:18080/hls/12704752/7f7cbbbd718583ad5d30/playlist.m3u8"
"229","Москва бизнес-центр №2","52.530889","85.176632","https://cctv11.digibi.ru:18080/hls/12704902/afac90de47e4640b7989/playlist.m3u8"
"7","Музей им. В.В. Бианки","52.539876","85.223337","https://cctv11.digibi.ru:18080/hls/497/d6df5c0e8f982f9dca7f/playlist.m3u8"
"132","Муромцевский","52.54116","85.206036","https://cctv10.digibi.ru:18080/hls/2414662/ddee4dca80b55fe93fde/playlist.m3u8"
"135","Мухачева - Кожевенный","52.538675","85.20389","https://cctv12.digibi.ru:18080/hls/2474979/794fd5f575bfb1ceb329/playlist.m3u8"
"183","Мухачева - Училищный","52.540566","85.20935","https://cctv11.digibi.ru:18080/hls/5335552/bf3b96be9f5262f101ed/playlist.m3u8"
"107","Объединение Восток ост.","52.530044","85.173625","https://cctv12.digibi.ru:18080/hls/1787882/8f548dda2b8f2ea29817/playlist.m3u8"
"108","Объединение Восток парковка","52.53002","85.173222","https://cctv12.digibi.ru:18080/hls/1787885/a8eaabe18733c4707102/playlist.m3u8"
"354","Омский","52.508783","85.148631","https://cctv11.digibi.ru:18080/hls/5336020/f91305d3963f3b45147b/playlist.m3u8"
"193","Памятник воинам, погибшим в Великой Отечественной войне 1941-1945 гг.","52.493898","85.153829","https://cctv11.digibi.ru:18080/hls/5905459/341eab4721083a7e92a1/playlist.m3u8"
"191","Памятник воинам-текстильщикам","52.55537","85.300513","https://cctv11.digibi.ru:18080/hls/5806352/3ffa5616bdcd7d192eac/playlist.m3u8"
"162","Памятник жертвам радиации","52.536738","85.217742","https://cctv11.digibi.ru:18080/hls/4441366/6f3eadfd1fe65655129a/playlist.m3u8"
"224","Парковка (Короленко 51)","52.538654","85.194898","https://cctv12.digibi.ru:18080/hls/12560808/1bbb224df8bf973a8601/playlist.m3u8"
"190","Парковка (Пугачёва 21)","52.501428","85.13895","https://cctv11.digibi.ru:18080/hls/5780252/7a0bfbdb5a9e6ba415eb/playlist.m3u8"
"315","Пешеходный переход (Васильева, 53)","52.509","85.150646","https://cctv2.digibi.ru:18080/hls/34634360/21eb14cb8719b3d57f86/playlist.m3u8"
"282","Пешеходный переход (Гимназия №1)","52.511791","85.17564","https://cctv9.digibi.ru:18080/hls/25072914/c65a5c038d967f9bb16e/playlist.m3u8"
"219","Пешеходный переход (Мерлина 10)","52.531573","85.186645","https://cctv11.digibi.ru:18080/hls/12286316/885b9a39f08f2d16e1b5/playlist.m3u8"
"230","Пешеходный переход (ЦУМ)","52.540242","85.214811","https://cctv12.digibi.ru:18080/hls/12959183/31c04a6dbfd8898d2a3c/playlist.m3u8"
"325","Планетарий, парковка","52.486492","85.142603","https://cctv12.digibi.ru:18080/hls/35737811/49b348e7e5b8f515c9a9/playlist.m3u8"
"109","Планетарий ""Родина""","52.485759","85.142824","https://cctv12.digibi.ru:18080/hls/1844257/ac4e7dbad290544f63d9/playlist.m3u8"
"324","Планетарий ""Родина"" №2","52.486516","85.142752","https://cctv12.digibi.ru:18080/hls/35737784/83a1a7f9712583be742d/playlist.m3u8"
"55","Площадь памяти героев ВОВ","52.541097","85.226325","https://cctv2.digibi.ru:18080/hls/714580/9ab09688ed63aee2e227/playlist.m3u8"
"231","Площадь перед Администрацией","52.540227","85.214875","https://cctv12.digibi.ru:18080/hls/12959290/527acd57bb36e19d9852/playlist.m3u8"
"10","Привокзальная площадь №1","52.53228","85.180537","https://cctv11.digibi.ru:18080/hls/11938/1736d7f74799287cbc04/playlist.m3u8"
"146","Привокзальная площадь №2","52.533145","85.182485","https://cctv10.digibi.ru:18080/hls/2957980/b807759a9fc7e375f305/playlist.m3u8"
"199","Пушки Бийской крепости","52.541306","85.227165","https://cctv5.digibi.ru:18080/hls/7909841/536d3b403e55144d0030/playlist.m3u8"
"62","Пушкина-15 Гвардейской Кавалерийской Дивизии","52.544612","85.287897","https://cctv5.digibi.ru:18080/hls/881838/5b78c61db406dd6b6988/playlist.m3u8"
"34","Разина - Липового","52.509304","85.151994",""
"184","Разина - Омский","52.508879","85.14848","https://cctv1.digibi.ru:18080/hls/58995417/49fbce4a428488ba34a4/playlist.m3u8"
"75","Революции - Мопровский","52.549394","85.219652","https://cctv11.digibi.ru:18080/hls/1182370/29678942173a8f7d1e62/playlist.m3u8"
"1","Ривьера ТРЦ №1","52.513631","85.171742","https://cctv11.digibi.ru:18080/hls/5/452e70cecbafe495920d/playlist.m3u8"
"63","Ривьера ТРЦ №2","52.513032","85.174379","https://cctv6.digibi.ru:18080/hls/917284/f09b81f63999863caeda/playlist.m3u8"
"266","Ривьера ТРЦ, парковка","52.513428","85.172298","https://cctv6.digibi.ru:18080/hls/22020357/b872818caae4149ac67a/playlist.m3u8"
"208","Сенная - Гилева","52.545241","85.217678","https://cctv11.digibi.ru:18080/hls/9892013/ced286cc56092ced883c/playlist.m3u8"
"211","Советская 199/6","52.511418","85.177008","https://cctv12.digibi.ru:18080/hls/9938360/273e31a7642ae89a8e4e/playlist.m3u8"
"210","Советская 211","52.511192","85.173123","https://cctv12.digibi.ru:18080/hls/9931552/a96963886ab201570325/playlist.m3u8"
"177","Советская, пешеходный переход 1","52.512678","85.165585","https://cctv11.digibi.ru:18080/hls/5223215/9d2c6b592614675dbb22/playlist.m3u8"
"138","Советская - Стахановская","52.515408","85.177398","https://cctv10.digibi.ru:18080/hls/2502324/5a4dfd6157e6d5e9d530/playlist.m3u8"
"181","Социалистическая 26","52.492713","85.140733","https://cctv6.digibi.ru:18080/hls/26412183/f1c5fcd0763b115ee641/playlist.m3u8"
"152","Социалистическая 38","52.496138","85.13951","https://cctv12.digibi.ru:18080/hls/3200610/fdad6e60881bedbe08c3/playlist.m3u8"
"102","Социалистическая (АБ)","52.487704","85.142311","https://cctv12.digibi.ru:18080/hls/1696173/2a49fe2bd0b699b38c74/playlist.m3u8"
"176","Социалистическая - В.Интернационалистов","52.514114","85.13367","https://cctv5.digibi.ru:18080/hls/5223160/a7f5546d8d5e07a1014b/playlist.m3u8"
"83","Социалистическая (Кирп. завод)","52.521805","85.127213","https://cctv12.digibi.ru:18080/hls/1378197/10cd29838120afec5f96/playlist.m3u8"
"179","Социалистическая - Кутузова","52.492777","85.140734","https://cctv11.digibi.ru:18080/hls/5333688/019b20e220db4f8f626b/playlist.m3u8"
"29","Социалистическая - Можайского","52.498388","85.13887","https://cctv8.digibi.ru:18080/hls/348492/c710a58231a641930eb2/playlist.m3u8"
"67","Социалистическая - Пугачева","52.501242","85.138035","https://cctv6.digibi.ru:18080/hls/1002495/3f6d00125d802cbada17/playlist.m3u8"
"185","Социалистическая - Чайковского","52.504237","85.13925","https://cctv11.digibi.ru:18080/hls/5444430/04bbd53233f9a9ed9793/playlist.m3u8"
"11","Стахановская ост.","52.515125","85.175165","https://cctv8.digibi.ru:18080/hls/363946/3dfea2c2cf9932bec24f/playlist.m3u8"
"194","Стела Войнам Бийчанам","52.510446","85.153032","https://cctv11.digibi.ru:18080/hls/5905752/79ab5f092748de15fb3d/playlist.m3u8"
"19","Табачная фабрика ост. №1","52.536987","85.201438","https://cctv7.digibi.ru:18080/hls/74202/a97bfc864469641845da/playlist.m3u8"
"137","Табачная фабрика ост. №2","52.537493","85.201801","https://cctv8.digibi.ru:18080/hls/2475050/156e26012d7e832b7ccc/playlist.m3u8"
"98","Трофимова - Кошевого","52.515795","85.161295","https://cctv5.digibi.ru:18080/hls/1634071/fb924d8bd5c14efe1f3a/playlist.m3u8"
"76","Трофимова - Севастопольская","52.532244","85.153834","https://cctv3.digibi.ru:18080/hls/1200250/ae8440e911f544af125c/playlist.m3u8"
"71","Трофимова - Ударная","52.518136","85.159092","https://cctv3.digibi.ru:18080/hls/1068171/038130a2ddf7038124cd/playlist.m3u8"
"296","Трофимова - Ударная №1","52.5200783","85.1588944","https://cctv6.digibi.ru:18080/hls/30486335/0ebb638940d71589d6e1/playlist.m3u8"
"297","Трофимова - Ударная №2","52.5201798","85.1588408","https://cctv9.digibi.ru:18080/hls/30486310/074dca384c7e1c95370d/playlist.m3u8"
"294","Трофимова - Шадрина №1","52.5233734","85.1576445",""
"295","Трофимова - Шадрина №2","52.5235043","85.1576284",""
"245","Ударная - 8 Марта","52.517421","85.139781","https://cctv12.digibi.ru:18080/hls/16535924/95ce72d40379cb48ea2c/playlist.m3u8"
"88","Ударная - Ленинградская","52.517436","85.135897","https://cctv7.digibi.ru:18080/hls/1563999/db4a4fda7d868e0f11e2/playlist.m3u8"
"168","Ударная - Липового","52.518306","85.147628","https://cctv12.digibi.ru:18080/hls/4549001/e038bde2ceb107060bcc/playlist.m3u8"
"178","Ударная - Омский","52.518081","85.145191","https://cctv5.digibi.ru:18080/hls/5333663/b588556dec88340de34a/playlist.m3u8"
"16","Ударная - Социалистическая","52.516478","85.133357","https://cctv8.digibi.ru:18080/hls/19460/201b9b030ed27b71e15b/playlist.m3u8"
"35","ЦУМ","52.540897","85.21598","https://cctv3.digibi.ru:18080/hls/3300394/edefb72b504a839fa211/playlist.m3u8"
"127","Чайковского - Ломоносова","52.504702","85.14283","https://cctv10.digibi.ru:18080/hls/2328071/420eb757e515c4822752/playlist.m3u8"
"131","Шевченко - Складской","52.537744","85.196743","https://cctv3.digibi.ru:18080/hls/2414675/c8af2c10d34f54e574b1/playlist.m3u8"
"291","Шишкова - Горького","52.531244","85.233723","https://cctv6.digibi.ru:18080/hls/29732523/46b6f8304071b2196c34/playlist.m3u8"
"338","Шишкова - Дальняя №1","52.525626","85.242252","https://cctv1.digibi.ru:18080/hls/50374538/916aee65902d02d88370/playlist.m3u8"
"339","Шишкова - Дальняя №2","52.525601","85.242313","https://cctv4.digibi.ru:18080/hls/50374806/0ed2ba63b94ffed27d3d/playlist.m3u8"
"290","Шишкова (мост)","52.531313","85.233634","https://cctv6.digibi.ru:18080/hls/29732158/f14f061c4e8754872f3b/playlist.m3u8"
"336","Шишкова - Памирская №1","52.526472","85.240312","https://cctv4.digibi.ru:18080/hls/50373845/bfa3a4a446685cfb68d6/playlist.m3u8"
"337","Шишкова - Памирская №2","52.526458","85.240355","https://cctv12.digibi.ru:18080/hls/50374202/db42415a6814cb7e8b93/playlist.m3u8"
"292","Шишкова (Чуйский тракт)","52.531264","85.233685","https://cctv9.digibi.ru:18080/hls/29732596/c3b2799dae506ac6eef7/playlist.m3u8"
"85","Школа №1","52.543003","85.209652","https://cctv12.digibi.ru:18080/hls/1527498/90b44d593ac3e1129411/playlist.m3u8"
"220","Школа №17","52.516075","85.169102","https://cctv12.digibi.ru:18080/hls/12517078/b65e6c9105c0a1d10a9a/playlist.m3u8"
"157","Школа №18","52.487135","85.146656","https://cctv7.digibi.ru:18080/hls/3387624/46d821d79041b6e050c8/playlist.m3u8"
"126","Школа №20","52.539","85.1991","https://cctv10.digibi.ru:18080/hls/2241676/c9874a3114d2198633a5/playlist.m3u8"
"156","Школа №34","52.498908","85.142251","https://cctv8.digibi.ru:18080/hls/3387568/e7cb8fba12b845444b27/playlist.m3u8"
"145","Школа ВОС ост.","52.545155","85.293913","https://cctv8.digibi.ru:18080/hls/2957760/6f2352e66bba29ac49b2/playlist.m3u8"
"286","Яминская - Волочаевская №1","52.554376","85.221562","https://cctv6.digibi.ru:18080/hls/29512171/0e3c69863da21547dc17/playlist.m3u8"
"287","Яминская - Волочаевская №2","52.554402","85.221739","https://cctv6.digibi.ru:18080/hls/29512181/b771ce00d715e968bf6e/playlist.m3u8"
"288","Яминская, светофор №1","52.562626","85.236714","https://cctv6.digibi.ru:18080/hls/29525727/656fa34af5dd85ad347b/playlist.m3u8"
"289","Яминская, светофор №2","52.562675","85.236708","https://cctv6.digibi.ru:18080/hls/29525909/48c12ee80d0589e66d2e/playlist.m3u8"